IPV6央视,#genre#
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530
北京卫视,http://[2409:8087:7001:20:2::2]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796
湖南卫视,http://[2409:8087:7001:20:3::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799
东方卫视,http://[2409:8087:7001:20:3::6]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797
四川卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338
天津卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204
安徽卫视,http://[2409:8087:7001:20:3::6]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196
山东卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209
广东卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803
广西卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380
江苏卫视,http://[2409:8087:7000:20::17]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800
江西卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344
河北卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406
河南卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480
浙江卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798
海南卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465
深圳卫视,http://[2409:8087:7000:20::15]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801
湖北卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206
山西卫视,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624
东南卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341
贵州卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474
辽宁卫视,http://[2409:8087:7001:20:2::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226201
重庆卫视,http://[2409:8087:7000:20::18]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202
黑龙江卫视,http://[2409:8087:7000:20::f]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226010
内蒙古卫视,http://[2409:8087:1a0b:df::4017]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634
宁夏卫视,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632
陕西卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625
甘肃卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633
吉林卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397
云南卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444
三沙卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/08984400000000060000000000000319?IAS
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628
新疆卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635
西藏卫视,http://[2409:8087:7001:20:2::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226212
兵团卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439
延边卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516
大湾区卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659
厦门卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/ott.mobaibox.com/PLTV/3/224/3221227604/index.m3u8
农林卫视,http://[2409:8087:7001:20:3::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229
康巴卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660
其他省份,#genre#
✌️山东|山东齐鲁,http://27.210.198.200:1029/rtp/239.253.254.114:8000
✌️山东|山东农科,http://27.210.198.200:1029/rtp/239.253.254.24:8000
✌️山东|山东少儿,http://27.210.198.200:1029/rtp/239.253.254.25:8000
✌️山东|山东生活,http://27.210.198.200:1029/rtp/239.253.254.151:8000
✌️山东|山东体育,http://27.210.198.200:1029/rtp/239.253.254.22:8000
✌️山东|山东卫视,http://27.210.198.200:1029/rtp/239.253.254.78:8000
✌️山东|山东文旅,http://27.210.198.200:1029/rtp/239.253.254.160:8000
✌️山东|山东新闻,http://27.210.198.200:1029/rtp/239.253.254.23:8000
✌️山东|山东综艺,http://27.210.198.200:1029/rtp/239.253.254.159:8000
✌️山东|山东教育,http://27.210.198.200:1029/rtp/239.253.254.59:8000
✌️山东|中国交通,http://27.210.198.200:1029/rtp/239.253.254.177:8000
✌️山东|山东齐鲁,http://144.52.199.64:8888/rtp/239.21.1.134:5002
✌️山东|山东齐鲁,http://144.52.199.64:8888/rtp/239.21.1.53:5002
✌️山东|山东农科,http://144.52.199.64:8888/rtp/239.21.1.183:5002
✌️山东|山东农科,http://144.52.199.64:8888/rtp/239.21.1.59:5002
✌️山东|山东少儿,http://144.52.199.64:8888/rtp/239.21.1.60:5002
✌️山东|山东少儿,http://144.52.199.64:8888/rtp/239.21.1.208:5002
✌️山东|山东生活,http://144.52.199.64:8888/rtp/239.21.1.56:5002
✌️山东|山东生活,http://144.52.199.64:8888/rtp/239.21.1.175:5002
✌️山东|山西卫视,http://144.52.199.64:8888/rtp/239.21.1.33:5002
✌️山东|山东体育,http://144.52.199.64:8888/rtp/239.21.1.58:5002
✌️山东|山东体育,http://144.52.199.64:8888/rtp/239.21.1.141:5002
✌️山东|山东卫视,http://144.52.199.64:8888/rtp/239.21.1.52:5002
✌️山东|山东卫视,http://144.52.199.64:8888/rtp/239.21.1.87:5002
✌️山东|山东文旅,http://144.52.199.64:8888/rtp/239.21.1.57:5002
✌️山东|山东文旅,http://144.52.199.64:8888/rtp/239.21.1.176:5002
✌️山东|山东新闻,http://144.52.199.64:8888/rtp/239.21.1.54:5002
✌️山东|山东新闻,http://144.52.199.64:8888/rtp/239.21.1.140:5002
✌️山东|山东综艺,http://144.52.199.64:8888/rtp/239.21.1.55:5002
✌️山东|山东综艺,http://144.52.199.64:8888/rtp/239.21.1.177:5002
✌️山东|山东国际,http://144.52.199.64:8888/rtp/239.21.1.61:5002
✌️山东|山东教育,http://144.52.199.64:8888/rtp/239.21.1.101:5002
✌️山东|山东教育,http://144.52.199.64:8888/rtp/239.21.1.169:5002
✌️山东|山东居家购物,http://144.52.199.64:8888/rtp/239.21.1.112:5002
✌️山东|BTV纪实 LD,http://144.52.199.64:8888/rtp/239.21.1.194:5002
✌️山东|BTV卡酷少儿,http://144.52.199.64:8888/rtp/239.21.1.49:5002
✌️山东|IPTV5+,http://144.52.199.64:8888/rtp/239.21.1.161:5002
✌️山东|IPTV经典电影,http://144.52.199.64:8888/rtp/239.21.1.124:5002
✌️山东|IPTV魅力时尚,http://144.52.199.64:8888/rtp/239.21.1.129:5002
✌️山东|IPTV热播剧场,http://144.52.199.64:8888/rtp/239.21.1.128:5002
✌️山东|IPTV少儿动画,http://144.52.199.64:8888/rtp/239.21.1.125:5002
✌️山东|IPTV相声小品,http://144.52.199.64:8888/rtp/239.21.1.126:5002
✌️山东|爱生活,http://144.52.199.64:8888/rtp/239.21.1.212:5002
✌️山东|安丘新闻,http://144.52.199.64:8888/rtp/239.21.2.13:5002
✌️山东|北京纪实,http://144.52.199.64:8888/rtp/239.21.1.172:5002
✌️山东|滨州公共,http://144.52.199.64:8888/rtp/239.21.1.119:5002
✌️山东|滨州好生新闻,http://144.52.199.64:8888/rtp/239.21.1.238:5002
✌️山东|滨州新闻,http://144.52.199.64:8888/rtp/239.21.1.118:5002
✌️山东|兵团卫视,http://144.52.199.64:8888/rtp/239.21.1.234:5002
✌️山东|财富天下,http://144.52.199.64:8888/rtp/239.21.1.127:5002
✌️山东|昌乐新闻,http://144.52.199.64:8888/rtp/239.21.1.245:5002
✌️山东|昌邑新闻,http://144.52.199.64:8888/rtp/239.21.2.27:5002
✌️山东|超清电影 4K,http://144.52.199.64:8888/rtp/239.21.1.179:5002
✌️山东|车迷,http://144.52.199.64:8888/rtp/239.21.2.39:5002
